Date,Name,Year,Letterboxd URI,Rating
2018-12-07,Star Wars,1977,https://boxd.it/72s,5
2018-12-07,Get Out,2017,https://boxd.it/eOCm,3.5
2018-12-07,Deadpool,2016,https://boxd.it/9fOC,4.5
2018-12-07,Her,2013,https://boxd.it/4O24,3.5
2018-12-07,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2018-12-07,The Witch,2015,https://boxd.it/9X0m,5
2018-12-07,Suicide Squad,2016,https://boxd.it/9row,2
2018-12-07,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2018-12-07,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2018-12-07,Hereditary,2018,https://boxd.it/hNVe,4.5
2018-12-07,Don't Breathe,2016,https://boxd.it/9yzw,3.5
2018-12-07,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2018-12-07,Psycho,1960,https://boxd.it/2ab2,5
2018-12-07,Black Swan,2010,https://boxd.it/Sw0,5
2018-12-07,It Follows,2014,https://boxd.it/87wo,3
2018-12-07,Silver Linings Playbook,2012,https://boxd.it/2TTo,2.5
2018-12-07,The Emoji Movie,2017,https://boxd.it/d9x4,0.5
2018-12-07,Smiley,2012,https://boxd.it/3Xrq,2
2018-12-07,The Bye Bye Man,2017,https://boxd.it/9b2k,0.5
2018-12-07,The Godfather,1972,https://boxd.it/2aNK,4.5
2018-12-07,Se7en,1995,https://boxd.it/29zs,4
2018-12-07,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,4
2018-12-07,Kick-Ass 2,2013,https://boxd.it/hqu,3
2018-12-07,Kick-Ass,2010,https://boxd.it/1zaQ,4
2018-12-07,Midnight Sun,2006,https://boxd.it/aHy,3.5
2018-12-08,Call Me by Your Name,2017,https://boxd.it/dYmm,4.5
2018-12-08,Taxi Driver,1976,https://boxd.it/2b8y,4
2018-12-16,Lady Bird,2017,https://boxd.it/dGNE,4
2018-12-17,The Mountain Between Us,2017,https://boxd.it/95jO,2.5
2018-12-21,Hot Summer Nights,2017,https://boxd.it/bFIE,2.5
2018-12-22,It's Kind of a Funny Story,2010,https://boxd.it/Tfa,2
2018-12-23,Creep,2014,https://boxd.it/7l4c,5
2018-12-23,Creep 2,2017,https://boxd.it/dSEO,3.5
2019-01-07,A Quiet Place,2018,https://boxd.it/fVJQ,4
2019-01-07,Burning,2018,https://boxd.it/hHUa,5
2019-01-08,Swiss Army Man,2016,https://boxd.it/bDG2,1.5
2019-01-08,The Florida Project,2017,https://boxd.it/dMG0,4.5
2019-01-15,Ted 2,2015,https://boxd.it/6oCY,2
2019-01-15,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,3
2019-01-16,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2019-01-17,Suspiria,2018,https://boxd.it/cioI,4
2019-03-05,The Shining,1980,https://boxd.it/29Nu,5
2019-03-21,About Time,2013,https://boxd.it/43bI,4
2019-04-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2019-04-09,A Dark Song,2016,https://boxd.it/epo0,4
2019-05-13,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,2
2019-05-25,Booksmart,2019,https://boxd.it/igNS,4.5
2019-05-28,Us,2019,https://boxd.it/gnV6,3
2019-05-28,"Girl, Interrupted",1999,https://boxd.it/25ds,3
2019-06-17,Super Dark Times,2017,https://boxd.it/dTle,4
2019-06-18,Svaha: The Sixth Finger,2019,https://boxd.it/kmFu,3
2019-06-19,The Social Network,2010,https://boxd.it/17ue,5
2019-06-19,Fight Club,1999,https://boxd.it/2a9q,5
2019-06-19,Donnie Darko,2001,https://boxd.it/2b2A,5
2019-06-20,Love,2015,https://boxd.it/9brE,1
2019-06-21,Fantastic Planet,1973,https://boxd.it/1KnQ,4
2019-06-21,"Fala Sério, Mãe!",2017,https://boxd.it/hxFY,1
2019-06-21,GoodFellas,1990,https://boxd.it/29FA,4
2019-06-22,Green Room,2015,https://boxd.it/a75m,4
2019-07-07,Trainspotting,1996,https://boxd.it/29XY,5
2019-07-15,Pulp Fiction,1994,https://boxd.it/29Pq,5
2019-07-16,The Night Comes for Us,2018,https://boxd.it/g2lc,4
2019-08-26,Parasite,2019,https://boxd.it/hTha,5
2019-09-15,Teen Spirit,2018,https://boxd.it/fFEq,3
2019-09-30,Midsommar,2019,https://boxd.it/jhxe,2
2019-10-07,Holidays,2016,https://boxd.it/avB2,2.5
2019-10-07,The Craft,1996,https://boxd.it/1Zai,3
2019-10-14,After,2019,https://boxd.it/jBb8,0.5
2019-10-21,Annabelle: Creation,2017,https://boxd.it/dSxe,2.5
2019-10-24,Fifty Shades Freed,2018,https://boxd.it/bb5C,0.5
2019-10-26,The Way He Looks,2014,https://boxd.it/70yA,3
2019-10-31,Captain Fantastic,2016,https://boxd.it/b2K2,4
2019-11-03,The Strange Thing About the Johnsons,2011,https://boxd.it/56nO,3
2019-11-11,Let It Snow,2019,https://boxd.it/9kKg,2.5
2019-11-25,Carol,2015,https://boxd.it/7DPK,3.5
2019-12-02,Bacurau,2019,https://boxd.it/fSUG,5
2019-12-29,The Two Popes,2019,https://boxd.it/k8Xk,3
2020-01-05,War Dogs,2016,https://boxd.it/9SlO,3
2020-01-06,Harold & Kumar Go to White Castle,2004,https://boxd.it/1Ueu,2
2020-01-06,Joker,2019,https://boxd.it/h4cS,3
2020-01-15,"Game Over, Man!",2018,https://boxd.it/gjaK,1
2020-01-17,Super Size Me,2004,https://boxd.it/1YQC,3
2020-01-24,20th Century Women,2016,https://boxd.it/bqU6,4
2020-01-25,Icarus,2017,https://boxd.it/fmje,4
2020-01-26,Winter on Fire: Ukraine's Fight for Freedom,2015,https://boxd.it/bYWU,4
2020-01-27,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3
2020-01-28,The Lighthouse,2019,https://boxd.it/icFU,3
2020-01-28,WHAT DID JACK DO?,2017,https://boxd.it/jcWe,3
2020-01-29,Hot Girls Wanted,2015,https://boxd.it/aitE,3
2020-02-06,Kidnap,2017,https://boxd.it/9g38,2
