Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full,Watched
2021-05-01,The Hangover Part II,2011,45243,The Hangover Part II,tt1411697,en,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",92.567,80000000.0,Comedy,http://hangoverpart2.warnerbros.com/,2011-05-25,586764305.0,102.0,"en, th",6.5,9209.0,"Warner Bros. Pictures, Legendary Pictures, Green Hat Films",US,"English, Thai",1
2021-05-01,Diary of a Wimpy Kid,2010,33217,Diary of a Wimpy Kid,tt1196141,en,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",21.804,15000000.0,"Comedy, Family",http://www.fox.co.uk/diary-of-a-wimpy-kid,2010-03-19,76196538.0,92.0,en,6.218,1321.0,"Dune Entertainment, Color Force, Dayday Films","GB, US",English,1
2021-05-01,The Hangover,2009,18785,The Hangover,tt1119646,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",115.603,35000000.0,Comedy,https://www.warnerbros.com/movies/hangover,2009-06-02,469310836.0,100.0,en,7.305,14923.0,"Warner Bros. Pictures, Legendary Pictures, Green Hat Films","DE, US",English,1
2021-05-01,The Player,1992,10403,The Player,tt0105151,en,A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,8.694,8000000.0,"Comedy, Crime, Drama, Mystery",,1992-04-03,21706101.0,124.0,en,7.2,619.0,"Fine Line Features, Avenue Pictures, Spelling Entertainment, Addis Wechsler Pictures",US,English,1
2021-05-01,Fermat's Room,2007,5595,La Habitación de Fermat,tt1016301,es,Four mathematicians who do not know each other are invited by a mysterious host on the pretext of resolving a great enigma. The room in which they find themselves turns out to be a shrinking room that will crush them if they do not discover in time what connects them all and why someone might wish to murder them.,10.294,0.0,"Mystery, Thriller",http://www.fermatsroom.co.uk/,2007-10-07,0.0,88.0,es,6.609,298.0,"BocaBoca Producciones, Notro Films",ES,Spanish,1
2021-05-01,Enemy at the Gates,2001,853,Enemy at the Gates,tt0215750,en,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad in WWII.,33.307,68000000.0,"Drama, War, History",,2001-03-14,96976270.0,131.0,"de, en, ru",7.39,2971.0,"Paramount, Little Bird, Mandalay Pictures, KC Medien, Reperage, DOS, MP Film Management","IE, US, DE, GB","German, English, Russian",1
2021-05-01,The Celebration,1998,309,Festen,tt0154420,da,"A grandiose party to celebrate a sixtieth birthday unleashes a family drama with all the lies that conceal horrendous secrets. The eldest son, Christian, stages a showdown with the popular pater familias; his provocative, moving after-dinner speech dislodges all the masks, which finally fall completely as the father-son conflict intensifies and the bewildered guests look on.",8.136,1300000.0,Drama,https://nimbusfilm.dk/film/festen/?lang=en,1998-06-19,0.0,105.0,"da, de, en",7.742,792.0,"DR, Nimbus Film, SVT","DK, SE","Danish, German, English",1
2021-05-01,Heat,1995,949,Heat,tt0113277,en,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,35.123,60000000.0,"Action, Crime, Drama, Thriller",,1995-12-15,187436818.0,170.0,"en, es",7.9,5846.0,"Warner Bros. Pictures, New Regency Productions, Regency Enterprises, Forward Pass, Monarchy Enterprises B.V., The Linson Company",US,"English, Spanish",1
2021-05-01,Good Time,2017,429200,Good Time,tt4846232,en,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",11.485,0.0,"Thriller, Crime",http://goodtime.movie/,2017-08-11,3283369.0,102.0,en,7.204,2395.0,"Rhea Films, Elara Pictures",US,English,1
2021-05-01,Guns Akimbo,2019,457335,Guns Akimbo,tt6902676,en,"An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",18.928,0.0,"Comedy, Action",,2020-02-27,835102.0,95.0,en,6.458,1854.0,"FilmFernsehFonds Bayern, Ingenious Media, New Zealand Film Commission, Four Knights Film, uMedia, WS Filmproduktion, Altitude Film Entertainment, Occupant Entertainment, Deutscher Filmförderfonds, Hyperion Media Group, The Electric Shadow Company, Cutting Edge, Saban Films, Maze Pictures, Pump Metal Films","DE, NZ, GB",English,1
2021-05-01,Nobody,2021,615457,Nobody,tt7888964,en,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",114.588,17000000.0,"Action, Crime, Thriller",https://www.nobody.movie,2021-03-18,61779301.0,92.0,"en, ru, es",8.122,5192.0,"Odenkirk Provissiero Entertainment, 87North Productions, Eighty Two Films",US,"English, Russian, Spanish",1
2021-05-01,Riders of Justice,2020,663870,Retfærdighedens ryttere,tt11655202,da,"Markus returns home to care for his daughter when his wife dies in a tragic train accident. However, when a survivor of the wreck surfaces and claims foul play, Markus suspects his wife was murdered and embarks on a mission to find those responsible.",11.4,5300000.0,"Action, Comedy, Drama",,2020-11-19,679505.0,116.0,"ar, da, et",7.273,530.0,"Zentropa Entertainments, Film i Väst, Zentropa International Sweden","DK, SE","Arabic, Danish, Estonian",1
2021-05-01,The Kid Detective,2020,720755,The Kid Detective,tt8980602,en,"A once-celebrated kid detective, now 31, continues to solve the same trivial mysteries between hangovers and bouts of self-pity. Until a naive client brings him his first 'adult' case, to find out who brutally murdered her boyfriend.",9.381,0.0,"Comedy, Drama, Mystery",,2020-10-16,0.0,99.0,en,6.592,267.0,"Woods Entertainment, JoBro Productions, levelFILM",CA,English,1
2021-05-01,(500) Days of Summer,2009,19913,(500) Days of Summer,tt1022603,en,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",52.078,7500000.0,"Comedy, Drama, Romance",https://www.foxmovies.com/movies/500-days-of-summer,2009-07-17,60781545.0,95.0,"en, fr, sv",7.26,8700.0,"Fox Searchlight Pictures, Watermark Pictures, Dune Entertainment III",US,"English, French, Swedish",1
2021-05-01,Jeepers Creepers,2001,8922,Jeepers Creepers,tt0263488,en,A brother and sister driving home through an isolated countryside from college encounter a flesh-eating creature in the midst of its ritualistic eating spree.,101.325,10000000.0,"Horror, Thriller",https://www.mgm.com/#/our-titles/1003/Jeepers-Creepers,2001-07-01,59217789.0,90.0,en,6.432,2436.0,"United Artists, American Zoetrope, Cinerenta Medienbeteiligungs KG, Cinerenta-Cinebeta, VCL Communications","DE, US",English,1
2021-05-01,Raising Arizona,1987,378,Raising Arizona,tt0093822,en,"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",10.92,6000000.0,"Comedy, Crime",,1987-03-01,29180280.0,94.0,en,7.026,1697.0,"20th Century Fox, Circle Films",US,English,1
2021-05-01,A Million Ways to Die in the West,2014,188161,A Million Ways to Die in the West,tt2557490,en,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",23.355,40000000.0,"Comedy, Western",,2014-05-22,86410000.0,116.0,en,5.996,3567.0,"MRC, Fuzzy Door Productions, Bluegrass Films, RGB Media",US,English,1
2021-05-01,The Intern,2015,257211,The Intern,tt2361509,en,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",35.868,35000000.0,Comedy,http://www.theinternmovie.com/,2015-09-23,194564672.0,121.0,en,7.189,5784.0,Waverly Films,US,English,1
2021-05-01,Nymphomaniac: Vol. I,2013,258216,Nymphomaniac: Vol. I,tt1937390,en,"A man named Seligman finds a fainted wounded woman in an alley and he brings her home. She tells him that her name is Joe and that she is nymphomaniac. Joe tells her life and sexual experiences with hundreds of men since she was a young teenager while Seligman tells about his hobbies, such as fly fishing, reading about Fibonacci numbers or listening to organ music.",6.783,0.0,Drama,http://www.magpictures.com/nymphomaniac,2013-12-25,13545832.0,118.0,en,6.9,2901.0,"Zentropa Entertainments, ARTE France Cinéma, Canal+, Det Danske Filminstitut, DR, Les Films du Losange, CNC, Eurimages, Svenska Filminstitutet, Caviar, Film i Väst, Slot Machine, Zentropa International Sweden, Zentropa International Köln, Zentropa International France, Ciné+, Artificial Eye, Heimatfilm, Zenbelgie BVBA, Groupe Grand Accord","BE, DK, FR, DE, GB",English,1
2021-05-01,Nocturnal Animals,2016,340666,Nocturnal Animals,tt4550098,en,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",24.633,22500000.0,"Drama, Thriller",http://www.focusfeatures.com/nocturnalanimals,2016-11-04,29252978.0,117.0,en,7.452,6747.0,"Universal Pictures, Artina Films, Fade to Black Productions, Focus Features",US,English,1
2021-05-01,Triple Threat,2019,449985,Triple Threat,tt6643972,en,"A crime syndicate places a hit on a billionaire's daughter, making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her, fighting tooth and nail to stop the assassins from reaching their target.",32.185,10000000.0,"Thriller, Action",https://www.triplethreatfilm.com,2019-03-19,0.0,96.0,"id, zh, th, en",6.396,486.0,"Hamilton Entertainment, SC Films Thailand Co., Kungfuman Culture Media, Aurora Alliance Films","US, CN, TH","Indonesian, Mandarin, Thai, English",1
