Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-05-01,Downfall,2004,613,Der Untergang,tt0363163,de,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",16.365,18339750,"Drama, History, War",,2004-09-16,92180910,156,"hu, de, ru",7.831,3169,"WDR, Constantin Film, Degeto Film, RAI, EOS Entertainment, ORF, NDR","AT, DE, IT","Hungarian, German, Russian"
2021-05-01,Terminator 2: Judgment Day,1991,280,Terminator 2: Judgment Day,tt0103064,en,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",71.242,102000000,"Action, Thriller, Science Fiction",https://www.lionsgate.com/movies/terminator-2-judgment-day,1991-07-03,520000000,137,"en, es",8.083,10802,"Carolco Pictures, TriStar Pictures, Lightstorm Entertainment, StudioCanal, Valhalla Motion Pictures","FR, US","English, Spanish"
2021-05-01,Interstellar,2014,157336,Interstellar,tt0816692,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,188.125,165000000,"Adventure, Drama, Science Fiction",http://www.interstellarmovie.net/,2014-11-05,701729206,169,en,8.382,29734,"Legendary Pictures, Syncopy, Lynda Obst Productions","GB, US",English
2021-05-01,The Big Short,2015,318846,The Big Short,tt1596363,en,The men who made millions from a global economic meltdown.,31.196,28000000,"Comedy, Drama",http://www.thebigshortmovie.com,2015-12-11,133346506,131,en,7.331,7733,"Paramount, Plan B Entertainment, Regency Enterprises",US,English
2021-05-01,Primer,2004,14337,Primer,tt0390384,en,"Friends and fledgling entrepreneurs invent a device in their garage which reduces the apparent mass of any object placed inside it, but they discover that it has some highly unexpected capabilities - ones that could enable them to do and to have seemingly anything they want. Taking advantage of this unique opportunity is the first challenge they face. Dealing with the consequences is the next.",10.171,7000,"Science Fiction, Drama, Thriller",http://www.primermovie.com,2004-10-08,545436,77,"en, fr",6.822,1793,Shane Carruth,US,"English, French"
2021-05-01,Hellraiser,1987,9003,Hellraiser,tt0093177,en,"After tinkering with a box he bought while abroad, sexual deviant Frank inadvertently opens a portal to hell, where fetish-demons led by Pinhead tear his body apart. When Frank’s brother and his wife move into his house, a skeletal Frank appears to his sister-in-law and asks her to supply him with corpses for his regeneration.",38.271,1000000,"Horror, Fantasy",,1987-09-11,14575193,93,en,6.916,1991,"New World Pictures, Cinemarque Entertainment BV, Film Futures, Rivdel Films",GB,English
2021-05-01,Once,2007,5723,Once,tt0907657,en,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love.",11.889,160000,"Drama, Music, Romance",http://www.foxsearchlight.com/once/,2007-03-23,20710513,85,"cs, en",7.4,1106,"Fox Searchlight Pictures, Summit Entertainment, RTÉ, Samson Films",IE,"Czech, English"
2021-05-01,28 Weeks Later,2007,1562,28 Weeks Later,tt0463854,en,"The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",37.199,15000000,"Horror, Thriller, Science Fiction",,2007-04-26,65048678,100,en,6.582,3554,"DNA Films, Figment Films, Sociedad General de Cine S.A., UK Film Council, Fox Atomic, Koan Films","ES, GB",English
2021-05-01,Pan's Labyrinth,2006,1417,El laberinto del fauno,tt0457430,es,"Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.",46.66,19000000,"Fantasy, Drama, War",,2006-10-10,83258226,118,es,7.7,9265,"Telecinco Cinema, Estudios Picasso, Esperanto Filmoj, Tequila Gang","MX, ES, US",Spanish
2021-05-01,Videodrome,1983,837,Videodrome,tt0086541,en,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.",17.549,5952000,"Horror, Mystery, Science Fiction",,1983-02-04,2120439,88,en,7.294,1760,"Universal Pictures, Famous Players, Guardian Trust Company, Filmplan International II",CA,English
2021-05-01,A Clockwork Orange,1971,185,A Clockwork Orange,tt0066921,en,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",34.91,2200000,"Science Fiction, Drama",,1971-12-19,26589000,137,en,8.225,11077,"Hawk Films, Warner Bros. Pictures","GB, US",English
2021-05-01,Batman v Superman: Dawn of Justice,2016,209112,Batman v Superman: Dawn of Justice,tt2975590,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",107.959,250000000,"Action, Adventure, Fantasy",https://www.warnerbros.com/movies/batman-v-superman-dawn-justice,2016-03-23,873637528,152,en,5.9,16257,"Warner Bros. Pictures, DC Comics, Atlas Entertainment, DC Entertainment, Cruel & Unusual Films, RatPac Entertainment",US,English
2021-05-01,Whiplash,2014,244786,Whiplash,tt2582802,en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",57.793,3300000,"Drama, Music",http://sonyclassics.com/whiplash/,2014-10-10,13092000,107,en,8.4,12714,"Bold Films, Blumhouse Productions, Right of Way Films",US,English
2021-05-01,Wild Tales,2014,265195,Relatos salvajes,tt3011894,es,Six deadly stories that explore the extremities of human behaviour involving distressed people seeking revenge.,21.385,4000000,"Drama, Thriller, Comedy",,2014-08-21,27007072,122,es,7.842,2788,"El Deseo, Warner Bros. Pictures, INCAA, Telefe, ICAA, K & S Films","AR, ES",Spanish
2021-05-01,Green Room,2015,313922,Green Room,tt4062536,en,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime.",15.277,5000000,"Horror, Crime, Thriller",http://greenroom-movie.com/,2015-09-25,3769214,95,en,6.688,2299,"filmscience, Broad Green Pictures",US,English
2021-05-01,Spotlight,2015,314365,Spotlight,tt1895587,en,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",19.763,20000000,"Drama, History",http://www.spotlightthefilm.com,2015-11-06,98690254,129,en,7.817,7374,"Participant, Entertainment One, Anonymous Content, Open Road Films, Rocklin / Faust, First Look Media, Topic Studios","CA, US",English
2021-05-01,The Lone Ranger,2013,57201,The Lone Ranger,tt1210819,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",43.864,215000000,"Action, Adventure, Western",http://disney.go.com/the-lone-ranger/,2013-07-03,260502115,149,en,6.085,5269,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Blind Wink Productions",US,English
2021-05-01,Family Nest,1979,48318,Családi tűzfészek,tt0077383,hu,"Családi tüzfészek (aka Family Nest) is an intimate portrayal of a family slowly disintegrating under various pressures in late 1970s communist Hungary. The plot of the film is deceptively simple, with the occasional momentous event--including one that's relatively shocking, but plot in a conventional sense is not the focus here.",2.757,0,Drama,,1979-01-25,0,108,hu,6.667,27,Balázs Béla Stúdió,HU,Hungarian
2021-05-01,The Texas Chain Saw Massacre,1974,30497,The Texas Chain Saw Massacre,tt0072271,en,"When Sally hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin, set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface, who wears a mask of human skin, the survivors must do everything they can to escape.",37.482,85000,Horror,,1974-10-01,30900000,83,en,7.31,2574,"Vortex, Bryanston Distributing",US,English
2021-05-01,The Boy in the Striped Pyjamas,2008,14574,The Boy in the Striped Pyjamas,tt0914798,en,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",73.377,12500000,"War, Drama, History",,2008-05-07,20416563,94,en,7.852,6078,"Miramax, BBC Films, Heyday Films","GB, US",English
2021-05-01,Ichi the Killer,2001,9696,殺し屋1,tt0296042,ja,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.",12.568,1400010,"Action, Crime, Horror",,2001-12-22,80631,129,"cn, en, ja",7.0,744,"Omega Project, Omega Micott Inc., Excell Film Agentur",JP,"Cantonese, English, Japanese"
