Date,Name,Year,Letterboxd URI,Rating
2021-09-07,Bingo: The King of the Mornings,2017,https://boxd.it/fcGs,4
2021-09-07,The Florida Project,2017,https://boxd.it/dMG0,3.5
2021-09-07,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2021-09-07,Super Dark Times,2017,https://boxd.it/dTle,3.5
2021-09-07,A Quiet Place,2018,https://boxd.it/fVJQ,2.5
2021-09-07,Ingrid Goes West,2017,https://boxd.it/evUQ,2
2021-09-07,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u,2.5
2021-09-07,Headshot,2016,https://boxd.it/ebLk,2
2021-09-07,War Dogs,2016,https://boxd.it/9SlO,3.5
2021-09-07,The Founder,2016,https://boxd.it/9XwM,3.5
2021-09-07,Hacksaw Ridge,2016,https://boxd.it/azew,3
2021-09-07,Manchester by the Sea,2016,https://boxd.it/b2L0,3.5
2021-09-07,Nocturnal Animals,2016,https://boxd.it/bkFu,3.5
2021-09-07,Arrival,2016,https://boxd.it/aNGk,3.5
2021-09-07,The Purge: Election Year,2016,https://boxd.it/ae5I,3
2021-09-07,Suicide Squad,2016,https://boxd.it/9row,1.5
2021-09-07,Batman: The Killing Joke,2016,https://boxd.it/djxe,2
2021-09-07,12 Angry Men,1957,https://boxd.it/2auI,4
2021-09-07,12 Angry Men,1997,https://boxd.it/1Sg4,2
2021-09-07,2012,2009,https://boxd.it/1OE2,1
2021-09-07,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2021-09-07,127 Hours,2010,https://boxd.it/SLa,1.5
2021-09-07,The 13th Warrior,1999,https://boxd.it/27Ss,3
2021-09-07,The Kid,1921,https://boxd.it/1X5U,5
2021-09-07,Fantastic Planet,1973,https://boxd.it/1KnQ,5
2021-09-07,Open Season 3,2010,https://boxd.it/BZk,2.5
2021-09-07,Friendly Fire,1998,https://boxd.it/3kA4,3
2021-09-07,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,4
2021-09-07,Creep,2014,https://boxd.it/7l4c,3.5
2021-09-07,Pi,1998,https://boxd.it/2ajq,5
2021-09-07,The Toxic Avenger,1984,https://boxd.it/1MAi,3
2021-09-07,Inside,2007,https://boxd.it/1QqG,4
2021-09-07,Winter Light,1963,https://boxd.it/1nrU,3.5
2021-09-07,Absolutely Anything,2015,https://boxd.it/34Ry,3.5
2021-09-07,Idiocracy,2006,https://boxd.it/20RW,3
2021-09-07,Evil Dead II,1987,https://boxd.it/29Ge,5
2021-09-07,Henry: Portrait of a Serial Killer,1986,https://boxd.it/1VCM,3
2021-09-07,The Evil Dead,1981,https://boxd.it/29Go,4.5
2021-09-07,Shogun Assassin,1980,https://boxd.it/1MM4,2.5
2021-09-07,The Purge,2013,https://boxd.it/4Xg0,3
2021-09-07,TPB AFK: The Pirate Bay - Away from Keyboard,2013,https://boxd.it/E1M,2.5
2021-09-07,Robosapien: Rebooted,2013,https://boxd.it/5G3K,0.5
2021-09-07,The Lorax,2012,https://boxd.it/2w9M,2.5
2021-09-07,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2021-09-07,Deathgasm,2015,https://boxd.it/avNs,4
2021-09-07,Madagascar,2005,https://boxd.it/29dc,3
2021-09-07,Up in Smoke,1978,https://boxd.it/1TOm,2.5
2021-09-07,Illumination,1973,https://boxd.it/4Rwm,3.5
2021-09-07,Rope,1948,https://boxd.it/28yo,5
2021-09-07,Rear Window,1954,https://boxd.it/2a6Q,4.5
2021-09-07,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,2.5
2021-09-07,The Seventh Seal,1957,https://boxd.it/2ahO,5
2021-09-07,Split,2016,https://boxd.it/dgSy,3.5
2021-09-07,The Conjuring 2,2016,https://boxd.it/7GJg,2.5
2021-09-07,Hush,2016,https://boxd.it/d5ys,2.5
2021-09-07,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,3
2021-09-07,Don't Breathe,2016,https://boxd.it/9yzw,4
2021-09-07,The Revenant,2015,https://boxd.it/8H5e,1
2021-09-07,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2021-09-07,Freaks of Nature,2015,https://boxd.it/6uRq,3
2021-09-07,Bone Tomahawk,2015,https://boxd.it/9kiw,1.5
2021-09-07,Trumbo,2015,https://boxd.it/9gG0,3.5
2021-09-07,The Martian,2015,https://boxd.it/8SeG,3.5
2021-09-07,Spotlight,2015,https://boxd.it/a84k,3.5
2021-09-07,Steve Jobs,2015,https://boxd.it/araG,2.5
2021-09-07,Sicario,2015,https://boxd.it/8i7u,3
2021-09-07,Green Room,2015,https://boxd.it/a75m,4
2021-09-07,Megamind,2010,https://boxd.it/16Sk,2.5
2021-09-07,Doghouse,2009,https://boxd.it/1Dd0,3
2021-09-07,The Book of Eli,2010,https://boxd.it/1Dnu,2.5
2021-09-07,Fast & Furious,2009,https://boxd.it/1Pnm,3
2021-09-07,A Serious Man,2009,https://boxd.it/1RFW,3
2021-09-07,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
2021-09-07,Alice in Wonderland,2010,https://boxd.it/1Spq,3
2021-09-07,Never Back Down,2008,https://boxd.it/207E,2.5
2021-09-07,Fermat's Room,2007,https://boxd.it/22Ue,3
2021-09-07,Death Proof,2007,https://boxd.it/27GG,3.5
2021-09-07,Delicatessen,1991,https://boxd.it/29lK,4
2021-09-07,Braindead,1992,https://boxd.it/29Gy,5
2021-09-07,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2021-09-07,Unforgiven,1992,https://boxd.it/6Z4,1.5
2021-09-07,Skyfall,2012,https://boxd.it/17Fc,3.5
2021-09-07,Falling Down,1993,https://boxd.it/194M,3
2021-09-07,The Invention of Lying,2009,https://boxd.it/1zGs,3
