Date,Name,Year,Letterboxd URI
2022-05-12,Shivers,1975,https://boxd.it/1rPG
2022-05-16,The 400 Blows,1959,https://boxd.it/2b1C
2022-05-17,Body Double,1984,https://boxd.it/1TGW
2022-05-19,Witness for the Prosecution,1957,https://boxd.it/18H4
2022-05-20,August in the Water,1995,https://boxd.it/3xQE
2022-05-23,The Devils,1971,https://boxd.it/1inI
2022-05-23,Nights of Cabiria,1957,https://boxd.it/1F7e
2022-05-26,The Best Years of Our Lives,1946,https://boxd.it/29my
2022-05-26,The Goat,1921,https://boxd.it/BAE
2022-05-29,The Story of Film: An Odyssey,2011,https://boxd.it/A10C
2022-05-29,A Grin Without a Cat,1977,https://boxd.it/x8c
2022-05-29,The Valley of the Bees,1968,https://boxd.it/1uSe
2022-05-29,Dekalog,1989,https://boxd.it/bv4u
2022-05-29,Werckmeister Harmonies,2000,https://boxd.it/1zzw
2022-05-29,Damnation,1988,https://boxd.it/1E28
2022-05-29,Satantango,1994,https://boxd.it/1j9M
2022-05-29,Dangerous Encounters of the First Kind,1980,https://boxd.it/3xOy
2022-06-03,Our Planet,2019,https://boxd.it/mwuq
2022-06-06,Destiny,1921,https://boxd.it/1nRo
2022-06-09,Lord of War,2005,https://boxd.it/284y
2022-06-09,Pig,2021,https://boxd.it/nzoW
2022-06-09,Mandy,2018,https://boxd.it/gtti
2022-06-09,Bang Bang,1971,https://boxd.it/5lb4
2022-06-09,The Killing,1956,https://boxd.it/2aMi
2022-06-09,A Man Escaped,1956,https://boxd.it/1MzY
2022-06-10,The Man That Was Turned into Juice,1980,https://boxd.it/59GE
2022-06-15,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne
2022-06-25,Last and First Men,2020,https://boxd.it/kKi0
2022-07-03,The Exterminating Angel,1962,https://boxd.it/1nRS
2022-07-11,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-07-19,Song of Avignon,1998,https://boxd.it/8BmI
2022-08-06,Manos: The Hands of Fate,1966,https://boxd.it/1ANa
2022-09-08,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2022-09-10,Survive Style 5+,2004,https://boxd.it/1KKA
2022-09-10,Dead Leaves,2004,https://boxd.it/1L54
2022-09-13,The Devil's Backbone,2001,https://boxd.it/28Li
2022-09-14,Wind from the East,1970,https://boxd.it/3NDm
2022-09-19,Tout Va Bien,1972,https://boxd.it/20AQ
2022-09-20,Elevator to the Gallows,1958,https://boxd.it/294u
2022-09-20,Blood Simple,1984,https://boxd.it/1U16
2022-09-20,Le Samouraï,1967,https://boxd.it/22ZI
2022-09-20,The Fire Within,1963,https://boxd.it/26AM
2022-09-25,Coffin Joe's Heart of Darkness,2017,https://boxd.it/hpKG
2022-09-25,"Meteorango Kid, Herói Intergaláctico",1969,https://boxd.it/92q8
2022-09-25,Copacabana Mon Amour,1970,https://boxd.it/5Oh6
2022-09-25,Ravenous,1999,https://boxd.it/1WOa
2022-09-29,Mutant Blast,2018,https://boxd.it/jPXK
2022-09-29,L'Atalante,1934,https://boxd.it/ThU
2022-10-12,Remonstrance,1972,https://boxd.it/KHE
2022-10-23,"Argentina, 1985",2022,https://boxd.it/qLxM
2022-10-23,Walk Hard: The Dewey Cox Story,2007,https://boxd.it/21wK
