nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_directors
nm2376614,Alexandre Bustillo,1975,\N,"writer,director","tt11686490,tt2473750,tt2926810,tt0856288",nm2376614
nm2377436,Anouk Whissell,\N,\N,"writer,director,actress","tt5774450,tt2622540,tt2622504,tt3672742",nm2377436
nm2377660,Julien Maury,\N,\N,"writer,director,cinematographer","tt0856288,tt11686490,tt2473750,tt2926810",nm2377660
nm2379331,François Simard,\N,\N,"director,writer,actor","tt5774450,tt6105136,tt3672742,tt6097798",nm2379331
nm2406731,Bryan Fogel,\N,\N,"director,producer,writer","tt0878814,tt11382384,tt7235270,tt6333060",nm2406731
nm2410311,Dean Israelite,1984,\N,"director,writer,producer","tt3717490,tt1391559,tt2436386,tt11947264",nm2410311
nm2419470,Tyler Gillett,\N,\N,"cinematographer,director,camera_department","tt7798634,tt11245972,tt2085061,tt2105044",nm2419470
nm2455301,Sophie Lanfear,\N,\N,"producer,director,camera_department","tt10746342,tt4150884,tt5167198,tt9253866",nm2455301
nm2482088,Tommy Wirkola,1979,\N,"writer,director,actor","tt1428538,tt1536537,tt1278340,tt2832470",nm2482088
nm2499666,James Swirsky,\N,\N,"director,cinematographer,editor","tt14210872,tt1942884,tt0860922,tt5998218",nm2499666
nm2530291,Evan Morgan,\N,\N,"writer,director,actor","tt1798091,tt8980602,tt2334896,tt1946463",nm2530291
nm2577199,Chris Peckover,\N,\N,"director,writer,producer","tt4443658,tt1468381",nm2577199
nm2585406,Simon McQuoid,\N,\N,"director,producer",tt0293429,nm2585406
nm2596725,David Blue Garcia,\N,\N,"cinematographer,camera_department,producer","tt12070050,tt11755740,tt8257900,tt7208564",nm2596725
nm2609807,Kelly Fremon Craig,\N,\N,"writer,producer,director","tt1142433,tt0999896,tt9185206,tt1878870",nm2609807
nm2610231,Zal Batmanglij,\N,\N,"writer,director,producer","tt15227418,tt4635282,tt1748207,tt1869716",nm2610231
nm2618764,Gerard McMurray,\N,\N,"director,producer,writer","tt1887675,tt2334649,tt5826432,tt6133466",nm2618764
nm2629172,Aaron Aites,\N,2016,"director,editorial_department,producer","tt1785612,tt2201488,tt4282808,tt1014809",nm2629172
nm2639032,Jason Eisener,\N,\N,"director,producer,writer","tt1640459,tt2450186,tt3672742,tt9159144",nm2639032
nm2648685,Mike Cahill,1979,\N,"visual_effects,editor,director","tt2884206,tt0435609,tt1549572,tt10333426",nm2648685
nm2674307,Patrick Brice,1983,\N,"director,writer,actor","tt3654796,tt1862079,tt2428170,tt3844362",nm2674307
nm2676052,Joseph Kosinski,1974,\N,"director,writer,producer","tt1104001,tt3829920,tt1745960,tt1483013",nm2676052
nm2725627,Steven Kostanski,\N,\N,"make_up_department,director,producer","tt11252440,tt1535616,tt1727261,tt4255304",nm2725627
nm2782185,Rupert Sanders,1971,\N,"director,writer,producer","tt1219827,tt1735898,tt1340094,tt2193628",nm2782185
nm2816668,Matthew Robinson,1978,\N,"writer,director,actor","tt1058017,tt2222042,tt5617712,tt7547410",nm2816668
nm2896727,Michael White Jr.,\N,\N,"director,actor,writer","tt5870260,tt1236486,tt2091286,tt10288076",nm2896727
nm2942187,Darius Marder,\N,\N,"editorial_department,writer,editor","tt3283588,tt1817273,tt1246588,tt5363618",nm2942187
nm2970236,Cody Calahan,\N,\N,"producer,art_director,camera_department","tt11778118,tt5810122,tt2772092,tt10743534",nm2970236
nm2985800,Doug Robert Brown,1983,\N,"producer,director,writer","tt7954282,tt3576004,tt11078750,tt1220877",nm2985800
nm3009132,Jerome Sable,\N,\N,"director,writer,producer","tt2926810,tt1405781,tt2190838,tt1632641",nm3009132
