nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_directors
nm0000570,Alan Parker,1944,2020,"director,writer,soundtrack","tt0116250,tt0077928,tt0101605,tt0095647",nm0000570
nm0000591,Roman Polanski,1933,\N,"director,actor,writer","tt0071315,tt1692486,tt0074811,tt1139328",nm0000591
nm0000600,Sam Raimi,1959,\N,"producer,writer,director","tt0083907,tt0145487,tt0106308,tt0099365",nm0000600
nm0000631,Ridley Scott,1937,\N,"producer,director,production_designer","tt3659388,tt0172495,tt0103074,tt0083658",nm0000631
nm0000682,Paul Verhoeven,1938,\N,"director,producer,writer","tt0164052,tt0389557,tt3716530,tt0093870",nm0000682
nm0000697,Billy Wilder,1906,2002,"writer,director,producer","tt0053291,tt0053604,tt0043014,tt0047437",nm0000697
nm0000709,Robert Zemeckis,1951,\N,"producer,writer,director","tt0088763,tt0109830,tt0118884,tt1907668",nm0000709
nm0000720,Jim Abrahams,1944,\N,"writer,producer,director","tt0080339,tt0088286,tt0083466,tt0102059",nm0000720
nm0000759,Paul Thomas Anderson,1970,\N,"director,writer,producer","tt0272338,tt11271038,tt0118749,tt0469494",nm0000759
nm0000797,Hal Ashby,1929,1988,"director,editorial_department,actor","tt0077362,tt0067185,tt0061811,tt0078841",nm0000797
nm0000814,John G. Avildsen,1935,2017,"director,editor,cinematographer","tt0100507,tt0087538,tt0075148,tt0097647",nm0000814
nm0000850,Clive Barker,1952,\N,"writer,producer,actor","tt0100260,tt0093177,tt0887261,tt0103919",nm0000850
nm0000881,Michael Bay,1965,\N,"producer,director,actor","tt0120591,tt2109248,tt1055369,tt0418279",nm0000881
nm0000905,Roberto Benigni,1952,\N,"actor,writer,director","tt0090967,tt0118799,tt0102164,tt0419198",nm0000905
nm0000916,Peter Berg,1964,\N,"producer,actor,writer","tt1091191,tt0124198,tt0108724,tt0369339",nm0000916
nm0000941,Kathryn Bigelow,1951,\N,"director,producer,actress","tt0887912,tt1790885,tt0093605,tt0114558",nm0000941
nm0000948,Shane Black,1961,\N,"writer,actor,director","tt0093773,tt0373469,tt3799694,tt1300854",nm0000948
nm0000965,Danny Boyle,1956,\N,"director,producer,writer","tt1010048,tt0111149,tt0289043,tt1542344",nm0000965
nm0000975,Robert Bresson,1901,1999,"writer,director,editor","tt0061996,tt0042619,tt0060138,tt0049902",nm0000975
nm0001008,Frank Capra,1897,1991,"director,writer,producer","tt0038650,tt0025316,tt0030993,tt0031679",nm0001008
nm0001045,Tommy Chong,1938,\N,"actor,soundtrack,writer","tt0082163,tt0078446,tt2948356,tt0080520",nm0001045
nm0001053,Ethan Coen,1957,\N,"producer,writer,director","tt2042568,tt0116282,tt6412452,tt1019452",nm0001053
nm0001054,Joel Coen,1954,\N,"producer,writer,director","tt10095582,tt0101410,tt2042568,tt6412452",nm0001054
nm0001060,Chris Columbus,1958,\N,"producer,writer,director","tt1454029,tt0295297,tt0241527,tt0304141",nm0001060
nm0001068,Sofia Coppola,1971,\N,"director,actress,writer","tt0099674,tt5592248,tt0335266,tt0159097",nm0001068
nm0001081,Cameron Crowe,1957,\N,"writer,producer,director","tt0105415,tt0259711,tt0181875,tt0116695",nm0001081
nm0001102,Joe Dante,1946,\N,"director,producer,miscellaneous","tt0093260,tt0082533,tt0087363,tt0122718",nm0001102
nm0001104,Frank Darabont,1959,\N,"writer,producer,director","tt1520211,tt0111161,tt0884328,tt0120689",nm0001104
nm0001129,Jonathan Demme,1944,2017,"director,producer,writer","tt0368008,tt0107818,tt0102926,tt1084950",nm0001129
nm0001178,Sergei Eisenstein,1898,1948,"director,writer,editor","tt0015648,tt0018217,tt0037824,tt0029850",nm0001178
nm0001206,Abel Ferrara,1951,\N,"director,writer,actor","tt0099939,tt0133122,tt0118734,tt0103759",nm0001206
nm0001232,Milos Forman,1932,2018,"director,writer,actor","tt0079261,tt0086879,tt0117318,tt0073486",nm0001232
nm0001243,William Friedkin,1935,\N,"director,writer,producer","tt0067116,tt0070047,tt0090180,tt1726669",nm0001243
