imdb_id,averageRating,numVotes,date_watched,title,release_year,original_title,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full,Watched,directors_name,writers_name
tt0178585,7.6,362,2022-06-10,The Man That Was Turned into Juice,1980,O Homem Que Virou Suco,pt,"Deraldo, a popular poet from Northeast Brazil, arrives in the capital of São Paulo, making a living only from his poetry and pamphlets. All is well until he is mistaken for a multinational worker who killed the boss at a party where he received the title of symbolic worker.",2.862,0.0,Drama,,1980-12-13,0.0,97.0,pt,7.3,23.0,"Embrafilme, Raiz Produções Cinematográficas, Secretaria de Cultura do Estado de São Paulo",BR,Portuguese,0,João Batista de Andrade,João Batista de Andrade
tt0165798,7.5,91747,2022-06-15,Ghost Dog: The Way of the Samurai,1999,Ghost Dog: The Way of the Samurai,en,"An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob. Jarmusch's spiritual gangster film tells the story of an inner-city hit man (Whitaker) who lives on a rooftop, training himself as a samurai in the strictest sense. He communicates primarily by carrier pigeon, while remaining loyal to a gangster (Tormey) who once saved his life.",13.116,2000000.0,"Crime, Drama",,1999-06-02,9400000.0,116.0,en,7.323,932.0,"Canal+, Pandora Film, JVC, Bac Films, Degeto Film, Plywood Productions","DE, US, FR, JP",English,0,Jim Jarmusch,Jim Jarmusch
tt8015444,6.7,3505,2022-06-25,Last and First Men,2020,Last and First Men,en,"As the end approaches inexorably, the last humans, living millions of years into the future, send a message to the humanity of the present that is both a plea for help and a warning, but also an epic tale of evolution, decline and hope.",6.01,0.0,"Drama, Science Fiction",http://www.zikzak.is/films/last-and-first-men,2020-02-25,0.0,72.0,en,6.634,71.0,Zik Zak Filmworks,IS,English,0,Jóhann Jóhannsson,
tt0056732,8.0,33466,2022-07-03,The Exterminating Angel,1962,El ángel exterminador,es,"After a lavish dinner party, the guests find themselves mysteriously unable to leave the room.",6.618,0.0,"Comedy, Drama, Fantasy",,1962-05-16,0.0,94.0,es,7.983,535.0,Producciones Gustavo Alatriste,MX,Spanish,0,Luis Buñuel,
tt15339456,7.9,6552,2022-07-11,Marcel the Shell with Shoes On,2021,Marcel the Shell with Shoes On,en,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. But when a documentary filmmaker discovers them amongst the clutter of his Airbnb, the short film he posts online brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.",14.751,0.0,"Animation, Comedy, Family, Drama",https://a24films.com/films/marcel-the-shell-with-shoes-on,2022-06-24,6000000.0,90.0,en,7.866,82.0,"Cinereach, Strongman, Chiodo Bros. Production",US,English,0,Dean Fleischer-Camp,
tt2914690,7.8,234,2022-07-19,Song of Avignon,1998,Song of Avignon,en,Reflections on my 1966 trip to Avignon that helped me to survive a deep crisis I was going through. Texts from my diaries of that period on the soundtrack are read by Angus MacLise.,0.981,0.0,Documentary,,1998-07-03,0.0,9.0,en,7.9,9.0,,US,English,0,Jonas Mekas,
tt0060666,1.6,36490,2022-08-06,Manos: The Hands of Fate,1966,Manos: The Hands of Fate,en,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",5.387,19000.0,"Horror, Thriller",,1966-11-15,0.0,70.0,en,1.979,165.0,"Norm-Iris, Emerson Film Enterprises",US,English,0,Harold P. Warren,Harold P. Warren
tt0169858,8.0,55179,2022-09-08,Neon Genesis Evangelion: The End of Evangelion,1997,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,ja,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",31.587,0.0,"Drama, Animation, Science Fiction, Action",,1997-07-19,20000000.0,87.0,ja,8.4,1172.0,"Production I.G, Kadokawa Shoten, TV Tokyo, GAINAX, Movic, Toei Company, Star Child Recording, SEGA",JP,Japanese,0,,Hideaki Anno
tt0430651,7.5,9841,2022-09-10,Survive Style 5+,2004,Survive Style 5+,ja,"Five bizarre stories with no apparent connection to one and other eventually become intertwined, resulting in surreal circumstances.",6.574,0.0,"Mystery, Comedy, Thriller",,2004-09-25,0.0,120.0,"en, ja",7.223,164.0,Tohokushinsha Film Corporation,JP,"English, Japanese",0,Gen Sekiguchi,Taku Tada
tt0439533,7.1,4109,2022-09-10,Dead Leaves,2004,デッド　リーブス,ja,"Pandy and Retro awaken naked on Earth with no recollection of their past. They embark on a crime spree in search of food and clothing, but are captured by authorities and sent to the infamous lunar penitentiary named Dead Leaves.",6.225,0.0,"Animation, Comedy, Crime, Science Fiction",,2004-01-17,0.0,52.0,ja,6.989,92.0,Production I.G,JP,Japanese,0,Hiroyuki Imaishi,
tt0256009,7.4,66865,2022-09-13,The Devil's Backbone,2001,El espinazo del diablo,es,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.",13.781,4500000.0,"Fantasy, Drama, Horror, Thriller",,2001-04-20,6582065.0,108.0,es,7.303,985.0,"El Deseo, Producciones Anhelo, Canal+ España, Tequila Gang, Sogepaq","ES, MX",Spanish,0,Guillermo del Toro,
tt0065173,5.9,639,2022-09-14,Wind from the East,1970,Le Vent d'est,fr,A politically oriented film in which images suggestive of a mock western are accompanied by an attack on all cinematic conventions to date and a debate on the nature and possibility of revolutionary cinema.,1.386,0.0,Drama,,1970-08-19,0.0,100.0,"en, fr, it, pt",6.825,20.0,"Anouchka Films, CCC-Filmkunst, Polifilm","FR, DE, IT","English, French, Italian, Portuguese",0,,
tt0069398,6.5,3655,2022-09-19,Tout Va Bien,1972,Tout va bien,fr,A strike at a French sausage factory contributes to the estrangement of a married filmmaker and his reporter wife.,3.847,0.0,Drama,,1972-04-28,0.0,95.0,"en, fr",6.67,44.0,"Anouchka Films, Empire Films, Vieco Films","FR, IT","English, French",0,,
