,imdb_rating,imdb_total_votes,title,release_year,original_language,overview,budget,genres,release_date,revenue,runtime,spoken_languages,tmdb_rating,tmdb_total_votes,production_companies,production_countries,Watched,directors,writers
23,7.3,23164,Reds,1981,en,"An account of the revolutionary years of the legendary American journalist John Reed, who shared his adventurous professional life with his radical commitment to the socialist revolution in Russia, his dream of spreading its principles among the members of the American working class, and his troubled romantic relationship with the writer Louise Bryant.",35000000.0,"['Drama', ' History', ' Romance']",1981-12-25,40382659.0,195.0,"['en', ' fi', ' fr', ' de', ' it', ' ru']",6.981,257.0,"['Paramount', ' Barclays Mercantile Industrial Finance', ' JRS Productions']",['US'],0,Warren Beatty,
24,6.8,39,Platform,2000,en,"At a windy, abandoned province station a man is waiting for a train. But something seems to be wrong; wasn't that a naked person running by? The man begins to examine the area; the tension rises up to the point, where another passenger arrives on the platform.",0.0,,2001-01-01,0.0,4.0,,0.0,0.0,,['NZ'],0,Robin Walters,Brett Ihaka
25,6.7,16068,Uncle Boonmee Who Can Recall His Past Lives,2010,th,"Suffering from acute kidney failure, Boonmee has chosen to spend his final days surrounded by his loved ones in the countryside. Surprisingly, the ghost of his deceased wife appears to care for him, and his long lost son returns home in a non-human form. Contemplating the reasons for his illness, Boonmee treks through the jungle with his family to a mysterious hilltop cave—the birthplace of his first life.",0.0,"['Drama', ' Fantasy']",2010-06-25,0.0,114.0,"['fr', ' lo', ' th']",6.634,288.0,"['Eddie Saeta', ' The Match Factory', ' ZDF/Arte', ' Hubert Bals Fund', ' Geißendörfer Film- und Fernsehproduktion (GFF)', ' Fonds Sud Cinéma', ' Illuminations Films', ' Ministère de la Culture et de la Communication', ' Office of the Contemporary Art and Culture (OCAC)', ' Kick the Machine', ' Anna Sanders Films', ' Ministère des Affaires étrangères et du Développement International', ' Foundation for Art and Creative Technology (FACT)', ' Haus der Kunst', ' World Cinema Fund', ' Animate Projects Limited', ' Ministry of Culture', ' Thailand']","['TH', ' GB', ' FR', ' DE', ' ES', ' NL']",0,Apichatpong Weerasethakul,
26,8.5,8291,The Human Condition I: No Greater Love,1959,ja,"After handing in a report on the treatment of Chinese colonial labor, Kaji is offered the post of labor chief at a large mining operation in Manchuria, which also grants him exemption from military service. He accepts, and moves to Manchuria with his newly-wed wife Michiko, but when he tries to put his ideas of more humane treatment into practice, he finds himself at odds with scheming officials, cruel foremen, and the military police.",0.0,"['War', ' Drama', ' History']",1959-01-15,0.0,206.0,"['zh', ' ja']",8.109,174.0,"['Shochiku', ' Ninjin Club']",['JP'],0,Masaki Kobayashi,
27,7.7,123920,Serpico,1973,en,"Frank Serpico is an idealistic New York City cop who refuses to take bribes, unlike the rest of the force. His actions get Frank shunned by the other officers, and often placed in dangerous situations by his partners. When his superiors ignore Frank's accusations of corruption, he decides to go public with the allegations. Although this causes the Knapp Commission to investigate his claims, Frank has also placed a target on himself.",3000000.0,"['Crime', ' History']",1973-12-18,29800000.0,130.0,"['en', ' es', ' it']",7.543,1565.0,"['Paramount', ' De Laurentiis Entertainment Group', ' Artists Entertainment Complex']","['IT', ' US']",0,Sidney Lumet,
28,7.7,40909,The Verdict,1982,en,"Frank Galvin is a down-on-his-luck lawyer and reduced to drinking and ambulance chasing, when a former associate reminds him of his obligations in a medical malpractice suit by serving it to Galvin on a silver platter—all parties are willing to settle out of court. Blundering his way through the preliminaries, Galvin suddenly realizes that the case should actually go to court—to punish the guilty, to get a decent settlement for his clients... and to restore his standing as a lawyer.",16000000.0,['Drama'],1982-12-08,53977250.0,129.0,['en'],7.425,475.0,['20th Century Fox'],['US'],0,Sidney Lumet,
29,6.2,2244,Ganja & Hess,1973,en,"After being stabbed with an ancient, germ-infested knife, a doctor finds himself with an insatiable desire for blood.",0.0,"['Drama', ' Fantasy', ' Horror']",1973-04-20,0.0,110.0,"['fr', ' en']",5.7,44.0,['Kelly/Jordan Enterprises'],['US'],0,,Bill Gunn
30,8.7,91,Morte e Vida Severina,2010,pt,"The Brazilian poem 'Morte e Vida Severina', a masterpiece of João Cabral de Melo Neto, comes to life in an animated version directed by Afonso Serpa.",0.0,['Animation'],2010-01-01,0.0,56.0,['pt'],7.7,3.0,,['BR'],0,Afonso Serpa,Afonso Serpa
31,7.6,22770,Sorry We Missed You,2019,en,"Ricky and his family have been fighting an uphill struggle against debt since the 2008 financial crash. An opportunity to wrestle back some independence appears with a shiny new van and the chance to run a franchise as a self-employed delivery driver. It's hard work, and his wife's job as a carer is no easier. The family unit is strong but when both are pulled in different directions everything comes to breaking point.",0.0,['Drama'],2019-10-04,8766149.0,100.0,['en'],7.364,580.0,"['France 2 Cinéma', ' Canal+', ' BBC Films', ' Why Not Productions', ' Wild Bunch', ' Les Films du Fleuve', ' Le Pacte', ' France Télévisions', ' Ciné+', ' VOO', ' Casa Kafka Pictures', ' Sixteen Films', ' BFI Film Fund', ' Cinéart', ' BeTV', ' Tax Shelter du Gouvernement Fédéral Belge']","['BE', ' FR', ' GB']",0,Ken Loach,Paul Laverty
32,7.5,11410,Land and Freedom,1995,en,"David Carr is a British Communist who is unemployed. In 1936, when the Spanish Civil War begins, he decides to fight for the Republican side, a coalition of liberals, communists and anarchists, so he joins the POUM militia and witnesses firsthand the betrayal of the Spanish revolution by Stalin's followers and Moscow's orders.",0.0,"['Drama', ' History', ' War', ' Romance']",1995-04-07,0.0,109.0,"['en', ' ca', ' es']",7.38,209.0,"['Road Movies', ' BIM Distribuzione', ' Filmstiftung Nordrhein-Westfalen', ' Diaphana Films', ' Eurimages', ' TVE', ' Road Movies Dritte Produktionen', ' Parallax Pictures', ' Degeto Film', ' BBC', ' Canal+ España', ' Working Title Films', ' British Screen Productions', ' Messidor Films', ' European Co-production Fund']","['FR', ' DE', ' ES', ' GB', ' IT']",0,Ken Loach,Jim Allen
33,6.8,26435,Bulworth,1998,en,A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,30000000.0,"['Comedy', ' Drama']",1998-05-15,29202884.0,108.0,['en'],6.311,193.0,['20th Century Fox'],['US'],0,Warren Beatty,
34,6.7,128,Close-Up,1990,en,"Innovative drama mixing film and video, with a teenager obsessed with watching his late mother, killed in an auto accident, on tapes he recorded of their daily lives. The mother is seen in extreme close-up only on tape.",0.0,"['Drama', ' TV Movie']",1990-10-22,0.0,93.0,['en'],0.0,0.0,"['Bedford Falls Productions', ' MGM Television', ' Robert Greenwald Productions']",['US'],0,Peter Horton,
35,7.3,1172,A Visitor to a Museum,1989,ru,"It is the future, the world is in ruins and a large portion of the population consists of deformed mutants living in reservations. In this world a man decides to spend his vacation visiting the ruins of a museum that is now buried under the sea.",0.0,"['Drama', ' Science Fiction']",1989-12-19,0.0,128.0,['ru'],7.143,28.0,"['ZDF', ' Lenfilm', ' Tretye Tvorcheskoe Obyedinenie', ' Goskino USSR', ' CSM Filmproduktion']","['DE', ' SU', ' CH']",0,Konstantin Lopushanskiy,Konstantin Lopushanskiy
36,7.2,12327,Mother,2009,en,"The lives of three women have a commonality: adoption. Karen is a physical therapist who regrets that, as a teenager, she gave up her daughter for adoption. Elizabeth was an adopted child and is now a successful lawyer, but her personal life lacks warmth. Lucy and her husband have failed to conceive and now hope to adopt a baby to make their family complete.",7000000.0,"['Drama', ' Romance']",2009-11-07,4000000.0,125.0,['en'],6.739,119.0,"['Mockingbird Pictures', ' Everest Entertainment']","['ES', ' US']",0,Rodrigo García,Rodrigo García
37,7.9,500565,Children of Men,2006,en,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",76000000.0,"['Drama', ' Action', ' Thriller', ' Science Fiction']",2006-09-22,70595464.0,109.0,['en'],7.603,6055.0,"['Universal Pictures', ' Strike Entertainment', ' Hit & Run Productions']","['GB', ' US']",0,Alfonso Cuarón,
38,7.6,143150,Lost Highway,1997,en,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell.",15000000.0,"['Drama', ' Thriller', ' Mystery']",1997-01-15,3675201.0,134.0,['en'],7.6,2071.0,"['CiBy 2000', ' October Films', ' Asymmetrical Productions', ' Lost Highway Productions']","['US', ' FR']",0,David Lynch,
39,6.8,58094,Inland Empire,2006,en,An actress’s perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.,15000000.0,"['Drama', ' Fantasy', ' Thriller', ' Horror']",2006-09-06,4045770.0,180.0,"['en', ' pl']",7.1,874.0,"['Asymmetrical Productions', ' StudioCanal', ' Camerimage Festival', ' Absurda']","['FR', ' PL', ' US']",0,David Lynch,David Lynch
40,7.2,29604,El Topo,1970,es,"El Topo decides to confront warrior Masters on a trans-formative desert journey he begins with his 6 year old son, who must bury his childhood totems to become a man.",400000.0,"['Action', ' Adventure', ' Drama', ' Western']",1970-12-18,0.0,125.0,['es'],7.137,466.0,['Producciones Panicas'],['MX'],0,Alejandro Jodorowsky,Alejandro Jodorowsky
41,7.5,21634,Santa Sangre,1989,en,"A young man is confined in a mental hospital. Through a flashback we see that he was traumatized as a child, when he and his family were circus performers. Back in the present, he escapes and rejoins his surviving and armless mother.",787000.0,"['Horror', ' Mystery', ' Drama']",1989-11-24,0.0,123.0,"['es', ' en']",7.091,328.0,"['Produzioni Intersound', ' Productora Fílmica Real']","['IT', ' MX']",0,Alejandro Jodorowsky,
42,8.0,20531,Crumb,1994,en,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",0.0,['Documentary'],1994-09-10,3174695.0,119.0,['en'],7.549,194.0,['Superior Pictures'],['US'],0,Terry Zwigoff,
43,8.0,73069,Being There,1979,en,"A simple-minded gardener named Chance has spent all his life in the Washington D.C. house of an old man. When the man dies, Chance is put out on the street with no knowledge of the world except what he has learned from television.",0.0,"['Comedy', ' Drama']",1979-12-19,30177511.0,130.0,['en'],7.625,774.0,"['United Artists', ' Lorimar Film Entertainment', ' NatWest Ventures', ' New Gold Entertainment', ' Northstar Media', ' BSB', ' CIP']","['DE', ' US']",0,Hal Ashby,
44,7.6,44410,Withnail & I,1987,en,"Two out-of-work actors -- the anxious, luckless Marwood and his acerbic, alcoholic friend, Withnail -- spend their days drifting between their squalid flat, the unemployment office and the pub. When they take a holiday ""by mistake"" at the country house of Withnail's flamboyantly gay uncle, Monty, they encounter the unpleasant side of the English countryside: tedium, terrifying locals and torrential rain.",0.0,"['Comedy', ' Drama']",1987-06-19,1544889.0,108.0,"['la', ' en']",7.401,433.0,"['Cineplex-Odeon Films', ' HandMade Films']",['GB'],0,Bruce Robinson,Bruce Robinson
45,8.5,20394,Woman in the Dunes,1964,ja,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,0.0,"['Drama', ' Thriller']",1964-02-15,0.0,147.0,['ja'],8.272,307.0,"['Toho', ' Teshigahara Productions']",['JP'],0,Hiroshi Teshigahara,
46,7.2,226392,The Descent,2005,en,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",3500000.0,"['Adventure', ' Horror']",2005-07-08,57130027.0,99.0,['en'],6.956,3171.0,"['Celador Films', ' Pathé', ' Northmen Productions']",['GB'],0,Neil Marshall,Neil Marshall
47,8.6,4819,The Fifth Seal,1976,hu,"In Budapest in 1944; a watchmaker, a bookseller, and a carpenter are drinking in a bar with the owner when they are joined by a stranger. The watchmaker asks a hypothetical question that will change their lives.",0.0,"['Drama', ' War']",1976-10-07,0.0,106.0,['hu'],8.083,48.0,"['Mafilm', ' Budapest Filmstúdió']",['HU'],0,Zoltán Fábri,
48,7.5,38544,"The Cook, the Thief, His Wife & Her Lover",1989,en,The wife of an abusive criminal finds solace in the arms of a kind regular guest in her husband's restaurant.,2300000.0,"['Crime', ' Drama']",1989-10-13,7724701.0,124.0,['en'],7.365,480.0,"['Elsevira', ' Erbograph Co.', ' Vendex']","['FR', ' NL', ' GB']",0,Peter Greenaway,Peter Greenaway
49,7.3,32930,Possession,1981,fr,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",0.0,['Horror'],1981-05-27,1158473.0,124.0,"['en', ' fr', ' de']",7.4,756.0,"['Gaumont', ' Oliane Productions', ' Marianne Productions']","['FR', ' DE']",0,Andrzej Zulawski,
50,7.9,12992,Eternity and a Day,1998,el,"Alexander, a famous writer, is very ill and has only a few days to live. He meets a little boy on the street, who is an illegal immigrant from Albania. Alexander then takes the boy home.",0.0,['Drama'],1998-10-23,0.0,133.0,"['en', ' el', ' it']",7.661,115.0,"['WDR', ' Canal+', ' ARTE', ' Paradis Films', ' Istituto Luce Cinecittà', ' Eurimages', ' Greek Film Centre', ' EPT', ' La Sept Cinéma', ' Intermédias', ' Theo Angelopoulos Films', ' Classic']","['FR', ' DE', ' GR', ' IT']",0,Theodoros Angelopoulos,
51,7.9,5435,Marketa Lazarová,1967,cs,"Mikolás and his brother Adam end up with a young German hostage of noble blood during a robbery. While their clan prepares for the wrath of the German king, Mikolás is sent to pressure his neighbor Lazar into a defense pact. Persuasion fails and he abducts Lazar's daughter Marketa on the eve of her initiation as a nun in an act of vengeance.",0.0,"['Drama', ' History']",1967-11-24,0.0,166.0,"['cs', ' de']",7.856,111.0,['Filmové studio Barrandov'],['XC'],0,Frantisek Vlácil,
52,8.1,339334,The Deer Hunter,1978,en,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",15000000.0,"['Drama', ' War']",1978-03-09,50000000.0,183.0,"['en', ' fr', ' ru', ' vi']",8.016,3087.0,"['Universal Pictures', ' EMI Films']","['GB', ' US']",0,Michael Cimino,
53,7.6,422973,Moneyball,2011,en,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",50000000.0,['Drama'],2011-09-23,110206216.0,134.0,['en'],7.242,4211.0,"['Columbia Pictures', ' Scott Rudin Productions', ' Sidney Kimmel Entertainment', ' Specialty Films', ' Michael De Luca Productions']",['US'],0,Bennett Miller,
54,7.9,32623,Hiroshima Mon Amour,1959,fr,"The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city.",0.0,"['Drama', ' History', ' Romance']",1959-06-10,3193.0,92.0,"['en', ' fr', ' ja']",7.829,625.0,"['Pathé Entertainment', ' Daiei Film', ' Argos Films', ' Como Films', ' Pathé Overseas']","['FR', ' JP']",0,Alain Resnais,Marguerite Duras
55,8.3,157635,Double Indemnity,1944,en,"A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.",927262.0,"['Crime', ' Drama', ' Mystery', ' Thriller']",1944-06-14,2500000.0,107.0,['en'],8.1,1434.0,['Paramount'],['US'],0,Billy Wilder,
56,7.3,2295,The Third Part of the Night,1971,pl,"Set during the Nazi occupation of Poland, in which Michal witnesses the murder of his mother, wife and child. He is hurled into a life that literally is not his own; a surreal world littered with trapdoors, doppelgängers and wormholes. It also tells the true untold story of a Nazi vaccine laboratory where Jews and members of the resistance were “employed” as feeders for parasites infected with typhus.",0.0,"['Horror', ' History', ' War', ' Thriller']",1971-12-17,0.0,102.0,['pl'],6.804,51.0,['Polski State Film'],['PL'],0,Andrzej Zulawski,
57,7.9,11744,Mishima: A Life in Four Chapters,1985,en,"A fictional account of the life of Japanese author Yukio Mishima told in four parts. The first three parts relate events in three of his novels: The Temple of the Golden Pavilion, Kyoko's House, and Runaway Horses. The last part depicts the events of 25th November 1970.",5000000.0,['Drama'],1985-05-15,502758.0,121.0,"['en', ' ja']",7.8,203.0,"['Lucasfilm Ltd.', ' American Zoetrope', ' Tristone Entertainment Inc.', ' M Company']","['JP', ' US']",0,Paul Schrader,
58,7.1,19337,The Parallax View,1974,en,An ambitious reporter gets in trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.,0.0,"['Crime', ' Drama', ' Thriller']",1974-06-14,0.0,102.0,['en'],6.792,224.0,"['Paramount', ' Doubleday Productions', ' Gus', ' Harbor Productions']",['US'],0,Alan J. Pakula,
